file,mm_mse_x,mm_mse_y,mm_mse_z,mm_mae_x,mm_mae_y,mm_mae_z,us_mse_x,us_mse_y,us_mse_z,us_mae_x,us_mae_y,us_mae_z
table,4.3310529392030865e-08,1.030985238204545e-07,3.000230512874616e-07,0.00016382334885022462,0.00027134060270526874,0.00048504629386577816,4.678759789491351e-07,4.6817136475419063e-07,4.7380814879599893e-07,0.0005999299765037532,0.0005995472258497489,0.0005972737770673786
person,9.083762355671247e-07,1.3971002625866737e-06,6.155292781407714e-08,0.0008200515559311066,0.0010401644946248772,0.00021490459450541823,1.9316910602453874e-06,1.7254241641326109e-06,1.7050238862586405e-06,0.0012113333784532303,0.0011336115080438952,0.001116428055521008
fence,2.636093339550935e-07,2.0693889984418332e-07,8.521170570308662e-11,0.00042580483131758823,0.0003887901435103076,3.8747240643987446e-06,4.089222765509121e-07,3.4458429273340113e-07,3.1895356404123027e-07,0.0005321442397364885,0.00046384072085124103,0.0004858761752417322
girl,3.148026618676545e-07,2.594643954614655e-07,4.2003640660533704e-08,0.000490738569047046,0.0004414542357156592,0.0001774134923766081,3.549016363066871e-07,3.781262239024529e-07,3.4879354692986476e-07,0.0005192649238632544,0.0005392691828693998,0.0005081505511771552
talwar,1.3872659397276853e-09,3.7258778292500474e-07,1.8060388559360056e-08,3.1514615796963284e-05,0.0005370671201285882,0.00011662936167581144,6.378198429140087e-07,5.979654974155379e-07,5.702475683165102e-07,0.000689404105223396,0.0006690372694636243,0.0006470581149440846
cylinder,1.1949318304701785e-06,0.0,1.194931830470177e-06,0.0009164185030385852,0.0,0.0009164185030385852,2.525701716746302e-06,2.669258757137527e-06,2.525701716746287e-06,0.001382409987854772,0.001382380723953247,0.0013824099878547661
branch,8.983204576828917e-07,1.1737254291751498e-06,2.7253921503053436e-07,0.0008186718215576295,0.0009330442693537266,0.0004502882208951138,2.297039018472754e-06,2.4496022817290683e-06,2.271583154302462e-06,0.0012971365062917288,0.0013686978403883343,0.0013085922011241361
explosive,5.254330527351258e-08,2.7205569589508943e-07,4.7971891479826115e-08,0.000196095394513011,0.0004384121598003684,0.00019117025634373972,4.210858267266498e-07,4.648461160599605e-07,3.9740749731103863e-07,0.000554372610049091,0.0006209732296609287,0.0005475628367722767
